Date,Open,High,Low,Close,Adj Close,Volume
2022-12-20,8550.0,8650.0,8550.0,8575.0,8137.9853515625,41243700
2022-12-21,8600.0,8700.0,8575.0,8675.0,8232.8876953125,33617700
2022-12-22,8650.0,8675.0,8575.0,8575.0,8137.9853515625,59591500
2022-12-23,8525.0,8575.0,8500.0,8500.0,8066.80615234375,47393000
2022-12-26,8500.0,8625.0,8500.0,8575.0,8137.9853515625,20495900
2022-12-27,8600.0,8650.0,8575.0,8600.0,8161.7099609375,27193800
2022-12-28,8650.0,8650.0,8550.0,8650.0,8209.162109375,40420200
2022-12-29,8525.0,8600.0,8500.0,8575.0,8137.9853515625,47020900
2022-12-30,8575.0,8650.0,8550.0,8550.0,8114.2587890625,44681400
2023-01-02,8575.0,8600.0,8500.0,8550.0,8114.2587890625,10653900
2023-01-03,8550.0,8600.0,8525.0,8550.0,8114.2587890625,27399100
2023-01-04,8525.0,8575.0,8350.0,8350.0,7924.451171875,90918800
2023-01-05,8350.0,8375.0,8150.0,8250.0,7829.5478515625,128838500
2023-01-06,8100.0,8325.0,8100.0,8300.0,7876.99951171875,69286600
2023-01-09,8325.0,8450.0,8325.0,8450.0,8019.3544921875,86916900
2023-01-10,8400.0,8425.0,8150.0,8175.0,7758.36962890625,101759100
2023-01-11,8050.0,8150.0,8000.0,8125.0,7710.91796875,96069100
2023-01-12,8150.0,8275.0,8125.0,8175.0,7758.36962890625,103804600
2023-01-13,8150.0,8175.0,8025.0,8050.0,7639.74072265625,119748200
2023-01-16,8050.0,8200.0,8050.0,8150.0,7734.64404296875,105710700
2023-01-17,8175.0,8375.0,8150.0,8325.0,7900.72509765625,88695900
2023-01-18,8200.0,8325.0,8175.0,8300.0,7876.99951171875,96814600
2023-01-19,8350.0,8350.0,8250.0,8325.0,7900.72509765625,66391800
2023-01-20,8275.0,8325.0,8250.0,8300.0,7876.99951171875,96859500
2023-01-24,8300.0,8350.0,8225.0,8225.0,7805.822265625,42474500
2023-01-25,8300.0,8300.0,8200.0,8200.0,7782.09619140625,66124500
2023-01-26,8225.0,8475.0,8225.0,8475.0,8043.08154296875,77582300
2023-01-27,8700.0,8850.0,8550.0,8700.0,8256.615234375,196804700
2023-01-30,8725.0,8775.0,8575.0,8700.0,8256.615234375,68544300
2023-01-31,8625.0,8675.0,8475.0,8475.0,8043.08154296875,200589000
2023-02-01,8575.0,8575.0,8450.0,8500.0,8066.80615234375,77396200
2023-02-02,8425.0,8525.0,8400.0,8450.0,8019.3544921875,99109500
2023-02-03,8550.0,8700.0,8500.0,8700.0,8256.615234375,71716700
2023-02-06,8750.0,8750.0,8650.0,8725.0,8280.33984375,117757700
2023-02-07,8775.0,8850.0,8750.0,8850.0,8398.9697265625,116014700
2023-02-08,8825.0,8850.0,8800.0,8825.0,8375.2431640625,54495500
2023-02-09,8825.0,8900.0,8800.0,8900.0,8446.4208984375,72381700
2023-02-10,8875.0,8900.0,8700.0,8825.0,8375.2431640625,62060900
2023-02-13,8875.0,8900.0,8775.0,8875.0,8422.6962890625,63775000
2023-02-14,8850.0,8950.0,8825.0,8950.0,8493.873046875,81678200
2023-02-15,8875.0,8900.0,8750.0,8875.0,8422.6962890625,38037000
2023-02-16,8825.0,8850.0,8700.0,8700.0,8256.615234375,66040400
2023-02-17,8775.0,8850.0,8725.0,8725.0,8280.33984375,43588900
2023-02-20,8725.0,8825.0,8700.0,8750.0,8304.0654296875,40077000
2023-02-21,8775.0,8800.0,8700.0,8700.0,8256.615234375,25390500
